Data Year - Fiscal_19,Ticker Symbol,Company Name,Return on Sales_19,Data Year - Fiscal_20,Return on Sales_20
2019,WRB,BERKLEY (W R) CORP,0.0870603633191974,2020,0.06596539921080685
2019,CINF,CINCINNATI FINANCIAL CORP,0.25201918223119635,2020,0.1613588110403397
2019,DVN,DEVON ENERGY CORP,-0.05707395498392283,2020,-0.5550952775476388
2019,LH,LABORATORY CP OF AMER HLDGS,0.07129504621456019,2020,0.11118573827301632
2019,VLO,VALERO ENERGY CORP,0.02357659472982313,2020,-0.02363802711469683
2019,IEX,IDEX CORP,0.17057869222508223,2020,0.160644076531927
2019,NLOK,NORTONLIFELOCK INC,1.5610441767068273,2020,0.2167449139280125
2019,ABBV,ABBVIE INC,0.23693861600432875,2020,0.10082124759741394
2019,PBCT,PEOPLE'S UNITED FINL INC,0.22580925106309122,2020,0.09839591361233084
2019,EOG,EOG RESOURCES INC,0.15973073709487942,2020,-0.05487141605033301
2019,EA,ELECTRONIC ARTS INC,0.5488531695864186,2020,0.14869426185823414
2019,SIVB,SVB FINANCIAL GROUP,0.3211596433405172,2020,0.29604106857878393
2019,TMUS,T-MOBILE US INC,0.07707009200408907,2020,0.044797286430691405
2019,IQV,IQVIA HOLDINGS INC,0.017225829725829724,2020,0.024562021304692313
2019,TWTR,TWITTER INC,0.42368303217184605,2020,-0.3055757142292072
2019,PAYC,PAYCOM SOFTWARE INC,0.2447920549947063,2020,0.17048633642091954
2019,KEYS,KEYSIGHT TECHNOLOGIES INC,0.14431791773181502,2020,0.14854299928926795
2019,COG,CABOT OIL & GAS CORP,0.3296121478388425,2020,0.1367282957322395
2019,SYF,SYNCHRONY FINANCIAL,0.19253892400184985,2020,0.08408207867897037
2019,ANET,ARISTA NETWORKS INC,0.3566867963160999,2020,0.2738095854519847
2019,CSCO,CISCO SYSTEMS INC,0.22389411220715166,2020,0.22745988925173932
2019,CFG,CITIZENS FINANCIAL GROUP INC,0.2220431440614927,2020,0.13770192808754558
2019,HCA,HCA HEALTHCARE INC,0.0682756739909615,2020,0.072846525527332
2019,XLNX,XILINX INC,0.2506496101706598,2020,0.2053971932256936
2019,ETSY,ETSY INC,0.11717553847300578,2020,0.20238812024628758
2019,AZO,AUTOZONE INC,0.13631625364777372,2020,0.13718940209390984
2019,REGN,REGENERON PHARMACEUTICALS,0.2690693593102221,2020,0.4134587094420449
2019,IDXX,IDEXX LABS INC,0.17770517194674662,2020,0.21494279839876154
2019,AES,AES CORP (THE),0.029737952694081853,2020,0.004761904761904762
2019,MNST,MONSTER BEVERAGE CORP,0.2637188129267174,2020,0.3055144112125307
2019,VRTX,VERTEX PHARMACEUTICALS INC,0.28269531646928847,2020,0.43696189444417316
